ts,event,extra
2025-10-08T07:38:44.9984068+00:00,SCENARIO_START,large_simul_same_ts
2025-10-08T07:38:44.9987784+00:00,PARAMS,points=200000;ts_span=0;pc=4;series_mult=50
2025-10-08T07:38:45.0039875+00:00,THREAD_0_START,50000
2025-10-08T07:38:45.0041484+00:00,THREAD_1_START,50000
2025-10-08T07:38:45.0042504+00:00,THREAD_2_START,50000
2025-10-08T07:38:45.0043401+00:00,THREAD_3_START,50000
2025-10-08T07:38:45.1925651+00:00,THREAD_0_END,SUCCESS
2025-10-08T07:38:45.4095547+00:00,THREAD_1_END,SUCCESS
2025-10-08T07:38:45.4163525+00:00,THREAD_2_END,SUCCESS
2025-10-08T07:38:45.4328090+00:00,THREAD_3_END,SUCCESS
2025-10-08T07:38:45.4803954+00:00,SCENARIO_END,SUCCESS
