timestamp,points,attempts,success,http_status,latency_ms,error
2025-10-08T13:55:52.4198305Z,50000,3,1,0,60190,""
2025-10-08T13:57:01.8387740Z,50000,4,0,0,59843,"Connection refused (influxdb:8086)"
2025-10-08T13:57:19.9098926Z,50000,4,1,0,5988,""
2025-10-08T13:57:37.8992434Z,50000,3,1,0,5951,""
2025-10-08T13:57:55.9061137Z,50000,3,1,0,5987,""
2025-10-08T13:58:13.9158900Z,50000,3,1,0,5994,""
2025-10-08T13:58:31.9152141Z,50000,3,1,0,5974,""
2025-10-08T13:58:49.9920827Z,50000,3,1,0,6050,""
2025-10-08T13:59:07.9363372Z,50000,3,1,0,5953,""
2025-10-08T13:59:25.8996442Z,50000,3,1,0,5965,""
2025-10-08T13:59:44.0208995Z,50000,3,1,0,6097,""
2025-10-08T14:00:01.9073625Z,50000,3,1,0,5978,""
2025-10-08T14:00:19.9087316Z,50000,3,1,0,5978,""
2025-10-08T14:00:38.0135153Z,50000,3,1,0,6092,""
2025-10-08T14:00:55.9083642Z,50000,3,1,0,5996,""
2025-10-08T14:01:13.9089146Z,50000,3,1,0,5869,""
2025-10-08T14:01:31.9072827Z,50000,3,1,0,5984,""
2025-10-08T14:01:49.9158986Z,50000,3,1,0,5986,""
2025-10-08T14:02:07.9100048Z,50000,3,1,0,5916,""
2025-10-08T14:02:25.9079439Z,50000,3,1,0,5970,""
2025-10-08T14:02:43.9096805Z,50000,3,1,0,5992,""
2025-10-08T14:03:01.9203157Z,50000,3,1,0,6001,""
2025-10-08T14:03:19.9093942Z,50000,3,1,0,5997,""
2025-10-08T14:03:37.9163099Z,50000,3,1,0,5961,""
2025-10-08T14:03:55.9069489Z,50000,3,1,0,5982,""
2025-10-08T14:04:13.9059863Z,50000,3,1,0,5985,""
2025-10-08T14:04:31.9241946Z,50000,3,1,0,6010,""
2025-10-08T14:04:49.9171554Z,50000,3,1,0,5993,""
2025-10-08T14:05:07.9015235Z,50000,3,1,0,5985,""
2025-10-08T14:05:25.9035275Z,50000,3,1,0,5990,""
2025-10-08T14:05:43.9139263Z,50000,3,1,0,5989,""
2025-10-08T14:06:01.9151205Z,50000,3,1,0,5994,""
2025-10-08T14:06:19.9485933Z,50000,3,1,0,6021,""
2025-10-08T14:06:37.9774034Z,50000,3,1,0,6065,""
2025-10-08T14:06:55.9224072Z,50000,3,1,0,5994,""
2025-10-08T14:07:13.9345030Z,50000,3,1,0,5964,""
2025-10-08T14:07:31.9059112Z,50000,3,1,0,5992,""
2025-10-08T14:07:49.9148503Z,50000,3,1,0,5993,""
2025-10-08T14:08:07.9131030Z,50000,3,1,0,5994,""
2025-10-08T14:08:25.9148780Z,50000,3,1,0,6007,""
2025-10-08T14:08:43.9022233Z,50000,3,1,0,5985,""
