timestamp,points,attempts,success,http_status,latency_ms,error
2025-10-08T13:51:52.2879237Z,50000,2,0,400,25,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"22025-10-08T13:52:52.3684273Z,50000,2,0,400,159,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}202025-10-08T13:52:52.4848335Z,50000,1,0,400,100,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
25-10-08T13:52:52.3042939Z,50000,2,0,400,94,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:52.4363555Z,50000,1,0,400,112,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:52.4987446Z,50000,1,0,400,48,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:52.6151714Z,50000,1,0,400,103,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:52.7811596Z,50000,1,0,400,34,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:52.8589254Z,50000,1,0,400,67,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:52.8968071Z,50000,1,0,400,30,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:52.9353641Z,50000,1,0,400,32,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:52.9729941Z,50000,1,0,400,31,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:53.0150651Z,50000,1,0,400,33,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:53.0562077Z,50000,1,0,400,31,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:53.1002300Z,50000,1,0,400,33,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
2025-10-08T13:52:53.1401094Z,50000,1,0,400,29,"{'code':'invalid','message':'write buffer error: parsing for line protocol failed'}"
