timestamp,points,attempts,success,http_status,latency_ms,error
2025-10-07T08:53:46.1850039Z,64,1,1,204,47,""
2025-10-07T08:53:46.1877702Z,64,1,1,204,0,""
2025-10-07T08:53:46.1897911Z,64,1,1,204,1,""
2025-10-07T08:53:46.1916498Z,64,1,1,204,0,""
2025-10-07T08:53:46.1936426Z,64,1,1,204,1,""
2025-10-07T08:53:46.1949485Z,64,1,1,204,0,""
2025-10-07T08:53:46.1970485Z,64,1,1,204,1,""
2025-10-07T08:53:46.1983771Z,64,1,1,204,0,""
2025-10-07T08:53:46.2008091Z,64,1,1,204,1,""
2025-10-07T08:53:46.2025187Z,64,1,1,204,0,""
2025-10-07T08:53:46.2154001Z,64,1,1,204,11,""
2025-10-07T08:53:46.2179902Z,64,1,1,204,0,""
2025-10-07T08:53:46.2196317Z,64,1,1,204,0,""
2025-10-07T08:53:46.2209175Z,64,1,1,204,0,""
2025-10-07T08:53:46.2219433Z,64,1,1,204,0,""
2025-10-07T08:53:46.2227628Z,64,1,1,204,0,""
2025-10-07T08:53:46.2237928Z,64,1,1,204,0,""
2025-10-07T08:53:46.2247228Z,64,1,1,204,0,""
2025-10-07T08:53:46.2256313Z,64,1,1,204,0,""
2025-10-07T08:53:46.2264857Z,64,1,1,204,0,""
2025-10-07T08:53:46.2273030Z,64,1,1,204,0,""
2025-10-07T08:53:46.2283143Z,64,1,1,204,0,""
2025-10-07T08:53:46.2292192Z,64,1,1,204,0,""
2025-10-07T08:53:46.2301655Z,64,1,1,204,0,""
2025-10-07T08:53:46.2312725Z,64,1,1,204,0,""
2025-10-07T08:53:46.2322929Z,64,1,1,204,0,""
2025-10-07T08:53:46.2333186Z,64,1,1,204,0,""
2025-10-07T08:53:46.2352755Z,64,1,1,204,0,""
2025-10-07T08:53:46.2361178Z,64,1,1,204,0,""
2025-10-07T08:53:46.2400841Z,64,1,1,204,0,""
2025-10-07T08:53:46.2410043Z,64,1,1,204,0,""
2025-10-07T08:53:46.2416920Z,64,1,1,204,0,""
2025-10-07T08:53:46.2423092Z,64,1,1,204,0,""
2025-10-07T08:53:46.2430205Z,64,1,1,204,0,""
2025-10-07T08:53:46.2436301Z,64,1,1,204,0,""
2025-10-07T08:53:46.2445843Z,64,1,1,204,0,""
2025-10-07T08:53:46.2453696Z,64,1,1,204,0,""
2025-10-07T08:53:46.2462431Z,64,1,1,204,0,""
2025-10-07T08:53:46.2469523Z,64,1,1,204,0,""
2025-10-07T08:53:46.2477596Z,64,1,1,204,0,""
2025-10-07T08:53:46.2488523Z,64,1,1,204,0,""
2025-10-07T08:53:46.2500791Z,64,1,1,204,0,""
2025-10-07T08:53:46.2511944Z,64,1,1,204,0,""
2025-10-07T08:53:46.2567914Z,64,1,1,204,0,""
2025-10-07T08:53:46.2609846Z,64,1,1,204,0,""
2025-10-07T08:53:46.2626554Z,64,1,1,204,0,""
2025-10-07T08:53:46.2638415Z,64,1,1,204,0,""
2025-10-07T08:53:46.2647941Z,64,1,1,204,0,""
2025-10-07T08:53:46.2712413Z,64,1,1,204,5,""
2025-10-07T08:53:46.2722573Z,64,1,1,204,0,""
2025-10-07T08:53:46.2732755Z,64,1,1,204,0,""
2025-10-07T08:53:46.2741835Z,64,1,1,204,0,""
2025-10-07T08:53:46.2750821Z,64,1,1,204,0,""
2025-10-07T08:53:46.2759441Z,64,1,1,204,0,""
2025-10-07T08:53:46.2768267Z,64,1,1,204,0,""
2025-10-07T08:53:46.2774671Z,64,1,1,204,0,""
2025-10-07T08:53:46.2782148Z,64,1,1,204,0,""
2025-10-07T08:53:46.2793903Z,64,1,1,204,0,""
2025-10-07T08:53:46.2803841Z,64,1,1,204,0,""
2025-10-07T08:53:46.2816192Z,64,1,1,204,0,""
2025-10-07T08:53:46.2824839Z,64,1,1,204,0,""
2025-10-07T08:53:46.2832414Z,64,1,1,204,0,""
2025-10-07T08:53:46.2839977Z,64,1,1,204,0,""
2025-10-07T08:53:46.2871831Z,64,1,1,204,0,""
2025-10-07T08:53:46.2885239Z,64,1,1,204,0,""
2025-10-07T08:53:46.2912095Z,64,1,1,204,0,""
2025-10-07T08:53:46.2927569Z,64,1,1,204,0,""
2025-10-07T08:53:46.2947452Z,64,1,1,204,0,""
2025-10-07T08:53:46.3053497Z,64,1,1,204,0,""
2025-10-07T08:53:46.3062911Z,64,1,1,204,0,""
2025-10-07T08:53:46.3072387Z,64,1,1,204,0,""
2025-10-07T08:53:46.3079319Z,64,1,1,204,0,""
2025-10-07T08:53:46.3089620Z,64,1,1,204,0,""
2025-10-07T08:53:46.3101024Z,64,1,1,204,0,""
2025-10-07T08:53:46.3107449Z,64,1,1,204,0,""
2025-10-07T08:53:46.3122632Z,64,1,1,204,0,""
2025-10-07T08:53:46.3129673Z,64,1,1,204,0,""
2025-10-07T08:53:46.3136715Z,64,1,1,204,0,""
2025-10-07T08:53:46.3145220Z,64,1,1,204,0,""
2025-10-07T08:53:46.3151456Z,64,1,1,204,0,""
2025-10-07T08:53:46.3157692Z,64,1,1,204,0,""
2025-10-07T08:53:46.3165529Z,64,1,1,204,0,""
2025-10-07T08:53:46.3172510Z,64,1,1,204,0,""
2025-10-07T08:53:46.3180227Z,64,1,1,204,0,""
2025-10-07T08:53:46.3187547Z,64,1,1,204,0,""
2025-10-07T08:53:46.3196313Z,64,1,1,204,0,""
2025-10-07T08:53:46.3213396Z,64,1,1,204,1,""
2025-10-07T08:53:46.3221307Z,64,1,1,204,0,""
2025-10-07T08:53:46.3228120Z,64,1,1,204,0,""
2025-10-07T08:53:46.3241668Z,64,1,1,204,0,""
2025-10-07T08:53:46.3251442Z,64,1,1,204,0,""
2025-10-07T08:53:46.3258045Z,64,1,1,204,0,""
2025-10-07T08:53:46.3263973Z,64,1,1,204,0,""
