ts,event,extra
2025-10-08T08:48:18.9529417+00:00,SCENARIO_START,large_simul_same_ts
2025-10-08T08:48:18.9533029+00:00,PARAMS,points=200000;ts_span=0;pc=4;series_mult=50
2025-10-08T08:48:18.9582249+00:00,THREAD_0_START,50000
2025-10-08T08:48:18.9583830+00:00,THREAD_1_START,50000
2025-10-08T08:48:18.9585027+00:00,THREAD_2_START,50000
2025-10-08T08:48:18.9586299+00:00,THREAD_3_START,50000
2025-10-08T08:48:19.3152001+00:00,THREAD_0_END,SUCCESS
2025-10-08T08:48:19.4971282+00:00,THREAD_1_END,SUCCESS
2025-10-08T08:48:19.5621831+00:00,THREAD_3_END,SUCCESS
2025-10-08T08:48:19.5926581+00:00,THREAD_2_END,SUCCESS
2025-10-08T08:48:19.5967582+00:00,SCENARIO_END,SUCCESS
