ts,batch,status,lat_ms
1759907528.077274,0,400,61.1269474029541
1759907528.085425,2,400,69.09298896789551
1759907528.085491,3,502,69.11587715148926
1759907528.0945852,5,400,9.03010368347168
1759907528.098998,1,400,82.72004127502441
1759907528.145034,6,400,59.354305267333984
1759907528.149546,4,502,72.15285301208496
1759907528.168152,20,400,69.06604766845703
1759907528.172296,7,400,77.64720916748047
1759907528.1895401,9,400,44.404029846191406
1759907528.189714,10,400,40.07768630981445
1759907528.218625,11,400,50.40311813354492
1759907528.2188318,12,400,46.479225158691406
1759907528.235925,14,400,38.4368896484375
1759907528.23598,13,400,46.369075775146484
1759907528.278919,15,400,60.195207595825195
1759907528.284114,16,400,57.408809661865234
1759907528.288492,18,502,52.37102508544922
1759907528.29727,17,400,61.23185157775879
1759907528.3017259,33,400,13.191938400268555
1759907528.339512,19,502,60.526132583618164
1759907528.3576782,24,400,18.125057220458984
1759907528.369814,8,502,85.65211296081543
1759907528.370028,23,502,68.23587417602539
1759907528.3801951,27,400,0.2529621124267578
1759907528.3802502,22,502,82.92388916015625
1759907528.3803048,26,400,10.432958602905273
1759907528.394079,28,400,13.709783554077148
1759907528.394141,25,400,36.39578819274902
1759907528.4524622,31,400,58.264970779418945
1759907528.452705,30,400,72.14903831481934
1759907528.4621131,29,400,81.64095878601074
1759907528.473208,32,400,78.92704010009766
1759907528.4980962,21,400,45.539140701293945
1759907528.5030122,46,400,40.85206985473633
1759907528.508404,34,502,46.42200469970703
1759907528.515148,36,502,41.877031326293945
1759907528.525791,39,400,17.349958419799805
1759907528.535622,40,400,20.429134368896484
1759907528.555958,37,400,57.77287483215332
1759907528.567799,38,400,64.72396850585938
1759907528.5745149,41,400,48.62689971923828
1759907528.580042,42,400,44.355154037475586
1759907528.592313,43,502,36.29493713378906
1759907528.597034,35,400,4.6558380126953125
1759907528.628586,44,400,60.71805953979492
1759907528.628822,45,400,54.23688888549805
1759907528.637053,47,502,56.95319175720215
1759907528.637131,48,400,39.965152740478516
1759907528.650131,51,400,12.904882431030273
1759907528.672862,49,400,44.182777404785156
1759907528.673038,52,502,35.68625450134277
1759907528.681141,55,400,0.25391578674316406
1759907528.681192,50,400,44.47364807128906
1759907528.6890152,53,400,38.82718086242676
1759907528.71937,56,400,38.130998611450195
1759907528.7241228,54,502,51.18513107299805
1759907528.734756,60,400,10.598182678222656
1759907528.734914,58,502,45.81189155578613
1759907528.742916,57,400,61.58304214477539
1759907528.7549891,62,400,12.227058410644531
1759907528.767497,59,502,48.0649471282959
1759907528.771895,65,400,4.36091423034668
1759907528.781207,61,502,46.391963958740234
1759907528.781445,74,400,38.500070571899414
1759907528.789442,67,400,8.188009262084961
1759907528.793568,64,400,38.47980499267578
1759907528.8145401,66,502,42.59490966796875
1759907528.818743,71,400,4.162073135375977
1759907528.8281431,68,400,38.88511657714844
1759907528.828293,70,400,34.67416763305664
1759907528.836226,69,400,46.66614532470703
1759907528.869432,72,502,50.6291389465332
1759907528.879277,86,400,43.02215576171875
1759907528.879462,76,400,9.989023208618164
1759907528.88852,75,400,52.394866943359375
1759907528.888574,73,502,60.37783622741699
1759907528.903414,79,400,14.728784561157227
1759907528.937223,77,400,57.871103286743164
1759907528.942336,80,502,53.550004959106445
1759907528.942396,78,400,54.24690246582031
1759907528.9424489,81,400,38.97905349731445
1759907528.955919,83,400,13.434171676635742
1759907528.981447,82,502,44.1591739654541
1759907528.986221,63,400,4.732847213745117
1759907528.999905,85,400,57.202816009521484
1759907529.0000808,84,400,57.4648380279541
1759907529.008907,87,400,52.919864654541016
1759907529.015239,88,400,28.94902229309082
1759907529.0451279,89,400,45.16100883483887
1759907529.0452979,90,400,36.61394119262695
1759907529.0543702,91,502,45.359134674072266
1759907529.058997,92,400,43.704986572265625
1759907529.063276,106,400,8.853912353515625
1759907529.0920918,94,502,37.837982177734375
1759907529.092292,93,400,47.1041202545166
1759907529.101272,98,400,9.12785530090332
1759907529.105809,96,400,46.75602912902832
1759907529.1058612,97,400,42.500972747802734
1759907529.145165,99,502,44.04616355895996
1759907529.150066,100,400,48.66933822631836
1759907529.154809,103,400,9.607076644897461
1759907529.159339,102,400,53.34615707397461
1759907529.1593869,101,502,53.47704887390137
1759907529.170965,107,400,11.52491569519043
1759907529.205667,104,400,55.535078048706055
1759907529.210654,105,400,55.79090118408203
1759907529.2157671,95,400,56.22506141662598
1759907529.231124,108,400,60.09078025817871
1759907529.260001,110,400,49.29399490356445
1759907529.260193,109,400,54.46505546569824
1759907529.269442,111,400,53.61795425415039
1759907529.28508,112,400,53.88689041137695
1759907529.311799,115,502,42.30189323425293
1759907529.3168619,114,400,47.78599739074707
1759907529.316926,113,400,56.85091018676758
1759907529.316981,117,400,5.145072937011719
1759907529.3308291,116,502,45.66812515258789
1759907529.362654,121,400,31.78691864013672
1759907529.371839,119,400,54.70108985900879
1759907529.376868,118,502,59.82518196105957
1759907529.381706,120,400,64.4838809967041
1759907529.390958,124,400,14.019012451171875
