ts,batch,status,lat_ms
1759907505.4615,6,400,111.6170883178711
1759907505.461607,4,400,111.79900169372559
1759907505.470401,1,400,120.73493003845215
1759907505.4704692,0,400,120.98097801208496
1759907505.470526,3,400,120.76401710510254
1759907505.470579,7,502,120.66197395324707
1759907505.470627,2,400,120.9111213684082
1759907505.491956,5,400,142.10820198059082
1759907505.508644,10,400,37.95313835144043
1759907505.531301,8,400,69.62108612060547
1759907505.5356202,11,400,64.77713584899902
1759907505.539818,9,400,77.98504829406738
1759907505.548372,16,400,39.62397575378418
1759907505.552551,15,502,60.51516532897949
1759907505.552597,14,502,81.55488967895508
1759907505.560378,13,400,89.39599990844727
1759907505.56042,12,502,89.50114250183105
1759907505.5604632,21,400,7.834196090698242
1759907505.560502,22,400,7.781982421875
1759907505.575284,17,502,43.91193389892578
1759907505.575331,23,400,14.767169952392578
1759907505.575365,18,502,39.69311714172363
1759907505.586508,19,502,46.63801193237305
1759907505.597346,27,400,21.939992904663086
1759907505.5975208,28,400,22.0181941986084
1759907505.618179,20,400,69.72813606262207
1759907505.622206,24,400,61.55204772949219
1759907505.622252,25,400,61.53512001037598
1759907505.637871,29,502,62.29710578918457
1759907505.6417851,26,502,81.00295066833496
1759907505.641838,36,400,3.925800323486328
1759907505.64946,30,400,62.86501884460449
1759907505.649508,37,400,7.641077041625977
1759907505.6573272,32,400,52.64616012573242
1759907505.661016,33,502,42.768239974975586
1759907505.661064,34,400,38.75303268432617
1759907505.661105,31,400,63.70401382446289
1759907505.672122,42,400,10.986089706420898
1759907505.676099,35,502,53.71284484863281
1759907505.679764,38,502,37.78982162475586
1759907505.68987,47,400,10.08296012878418
1759907505.696668,46,400,20.533084869384766
1759907505.696715,39,400,47.148942947387695
1759907505.704395,41,502,47.019004821777344
1759907505.704447,40,400,54.808855056762695
1759907505.7131882,44,400,51.89394950866699
1759907505.7169049,43,400,55.673837661743164
1759907505.723434,45,502,51.19776725769043
1759907505.7291672,55,400,5.703210830688477
1759907505.733574,49,502,36.78297996520996
1759907505.739684,57,400,6.082057952880859
1759907505.743979,50,400,47.09887504577637
1759907505.747762,48,502,57.84296989440918
1759907505.756303,60,400,8.484125137329102
1759907505.760075,54,400,43.07985305786133
1759907505.763836,53,400,50.59480667114258
1759907505.763881,52,400,59.26799774169922
1759907505.771233,51,502,66.69378280639648
1759907505.779785,58,400,40.0540828704834
1759907505.7925289,59,502,48.503875732421875
1759907505.7978141,63,400,33.889055252075195
1759907505.798003,67,400,5.391836166381836
1759907505.798058,65,400,26.755809783935547
1759907505.808896,56,400,79.61797714233398
1759907505.812557,61,400,56.19406700134277
1759907505.812603,62,400,52.47092247009277
1759907505.82004,64,400,56.02669715881348
1759907505.845491,66,400,65.6428337097168
1759907505.852694,69,400,43.95794868469238
1759907505.8570418,70,400,48.230886459350586
1759907505.861077,93,400,52.149057388305664
1759907505.861137,68,502,63.25101852416992
1759907505.870566,74,400,50.4307746887207
1759907505.874249,72,502,61.43593788146973
1759907505.878017,96,400,65.28782844543457
1759907505.883324,105,400,9.048938751220703
1759907505.887003,75,502,41.45312309265137
1759907505.9014049,76,400,48.654794692993164
1759907505.905323,77,400,48.238277435302734
1759907505.909169,84,400,22.1102237701416
1759907505.914901,78,400,53.6348819732666
1759907505.9189901,102,502,57.81078338623047
1759907505.927868,80,400,57.25979804992676
1759907505.932006,106,400,53.94625663757324
1759907505.932062,89,400,13.020038604736328
1759907505.943626,85,400,42.16814041137695
1759907505.947398,86,502,42.02604293823242
1759907505.9512992,83,400,67.92807579040527
1759907505.951349,87,400,42.11902618408203
1759907505.951384,88,502,36.42702102661133
1759907505.962514,95,400,15.084981918334961
1759907505.9625862,71,400,11.152982711791992
1759907505.97021,91,502,38.06900978088379
1759907505.9742432,90,400,46.32997512817383
1759907505.97441,100,400,4.150867462158203
1759907505.997462,94,502,53.728580474853516
1759907505.997688,92,400,65.46974182128906
1759907506.005505,73,502,53.97295951843262
1759907506.016883,98,502,54.22616004943848
1759907506.017051,97,400,65.47021865844727
1759907506.024244,99,400,61.50674819946289
1759907506.024291,81,400,18.68605613708496
1759907506.032803,101,400,58.48813056945801
1759907506.0328882,79,400,50.81510543823242
1759907506.050588,103,502,53.02286148071289
1759907506.0506449,104,502,45.404911041259766
1759907506.060199,113,400,9.409189224243164
1759907506.064864,112,400,14.185905456542969
1759907506.075124,107,400,51.12886428833008
1759907506.081156,108,400,56.752920150756836
1759907506.0818172,109,400,57.349205017089844
1759907506.081882,82,400,64.92805480957031
1759907506.1022358,111,400,69.19598579406738
1759907506.102609,114,400,42.32501983642578
1759907506.102682,110,400,69.73886489868164
1759907506.1534889,115,400,88.54007720947266
1759907506.158188,116,400,82.94296264648438
1759907506.181485,121,502,68.20201873779297
1759907506.18177,122,400,68.39895248413086
1759907506.190079,119,502,96.2827205657959
1759907506.190136,120,400,87.73612976074219
1759907506.190183,117,400,108.62302780151367
1759907506.19022,118,502,96.54974937438965
1759907506.2058592,125,400,24.294137954711914
1759907506.205916,123,400,52.33192443847656
1759907506.205961,127,400,15.638113021850586
1759907506.2060359,124,400,47.78695106506348
1759907506.206076,128,400,15.645980834960938
1759907506.265565,126,502,75.67071914672852
1759907506.265617,130,502,75.04391670227051
1759907506.2742689,129,502,83.74571800231934
1759907506.274324,137,400,8.574962615966797
1759907506.2745779,136,400,8.925914764404297
1759907506.2865868,138,400,12.215137481689453
1759907506.293937,132,502,87.73303031921387
1759907506.304584,133,400,98.31881523132324
1759907506.3047721,131,400,98.64926338195801
1759907506.3124402,134,400,106.10103607177734
1759907506.3124878,135,400,106.0938835144043
1759907506.3125288,142,400,18.556833267211914
1759907506.338262,139,400,63.77696990966797
1759907506.356491,143,400,51.81384086608887
1759907506.3629599,140,400,76.67016983032227
1759907506.3845701,145,400,71.89607620239258
1759907506.389078,144,400,76.92503929138184
1759907506.397228,148,400,58.87794494628906
1759907506.397434,146,400,84.69295501708984
1759907506.405642,147,400,92.83995628356934
1759907506.405697,141,400,119.05670166015625
1759907506.4148421,150,400,51.828861236572266
1759907506.418818,149,400,62.26992607116699
1759907506.422903,151,400,38.272857666015625
