ts,batch,status,lat_ms
1759910889.6945245,15,204,18010.08892059326
1759910889.6979225,12,204,18013.555765151978
1759910889.6980438,5,204,18013.883352279663
1759910889.6981468,3,204,18014.093160629272
1759910889.698263,0,204,18014.411449432373
1759910889.6983483,9,204,18014.041662216187
1759910889.6984286,7,204,18014.21284675598
1759910889.7082398,2,204,18024.218797683716
1759910889.7083404,4,204,18024.258613586426
1759910889.7084258,13,204,18024.049282073975
1759910889.708493,11,204,18024.150133132935
1759910889.7085657,6,204,18024.37663078308
1759910889.7086282,8,204,18024.349212646484
1759910889.7086902,14,204,18024.299383163452
1759910889.7087479,10,204,18024.421215057373
1759910889.708807,1,204,18024.826765060425
1759910949.6990016,26,204,59975.90398788452
1759910949.702708,20,204,59993.647813797
1759910949.702859,31,204,59979.77948188782
1759910949.7029622,16,204,60004.321336746216
1759910949.7030761,17,204,59994.13442611694
1759910949.7031631,22,204,59994.06623840332
1759910949.7032487,25,204,59980.29851913452
1759910949.7033288,19,204,59994.29225921631
1759910949.703406,27,204,59980.41248321533
1759910949.703475,18,204,59994.48013305664
1759910949.703567,24,204,59980.64708709717
1759910949.7036414,21,204,59994.56334114075
1759910949.7037015,30,204,59980.64184188843
1759910949.7037585,29,204,59980.71622848511
1759910949.7038722,23,204,59981.01472854614
1759910949.7039404,28,204,59980.91769218445
1759911009.7118871,38,204,59982.264041900635
1759911009.7159553,42,204,59987.091064453125
1759911009.716088,39,204,59987.27989196777
1759911009.7161734,34,204,59987.499952316284
1759911009.716243,32,204,60012.20440864563
1759911009.716321,36,204,59987.59484291077
1759911009.7163875,44,204,59987.48421669006
1759911009.716467,40,204,59987.64133453369
1759911009.716545,45,204,59987.61773109436
1759911009.7165928,41,204,59987.7507686615
1759911009.7166674,33,204,59988.07740211487
1759911009.716738,37,204,59987.977743148804
1759911009.7168498,47,204,59987.88595199585
1759911009.7169151,35,204,59988.21234703064
1759911009.7169664,43,204,59988.08765411377
1759911009.717053,46,204,59988.10815811157
1759911069.701025,54,204,59954.90550994873
