ts,event,extra
2025-10-08T08:41:26.2680252+00:00,SCENARIO_START,large_simul_same_ts
2025-10-08T08:41:26.2684507+00:00,PARAMS,points=200000;ts_span=0;pc=4;series_mult=50
2025-10-08T08:41:26.2742440+00:00,THREAD_0_START,50000
2025-10-08T08:41:26.2745185+00:00,THREAD_1_START,50000
2025-10-08T08:41:26.2746350+00:00,THREAD_2_START,50000
2025-10-08T08:41:26.2747442+00:00,THREAD_3_START,50000
2025-10-08T08:41:26.5347564+00:00,THREAD_3_END,SUCCESS
2025-10-08T08:41:26.6082623+00:00,THREAD_2_END,SUCCESS
2025-10-08T08:41:26.6456946+00:00,THREAD_1_END,SUCCESS
2025-10-08T08:41:26.7630611+00:00,THREAD_0_END,SUCCESS
2025-10-08T08:41:26.7680965+00:00,SCENARIO_END,SUCCESS
