ts,event,extra
2025-10-08T07:07:25.0714873+00:00,SCENARIO_START,large_simul_same_ts
2025-10-08T07:07:25.0719503+00:00,PARAMS,points=200000;ts_span=0;pc=4;series_mult=50
2025-10-08T07:07:25.0778700+00:00,THREAD_0_START,50000
2025-10-08T07:07:25.0780706+00:00,THREAD_1_START,50000
2025-10-08T07:07:25.0782255+00:00,THREAD_2_START,50000
2025-10-08T07:07:25.0783770+00:00,THREAD_3_START,50000
2025-10-08T07:07:25.1902090+00:00,THREAD_0_END,SUCCESS
2025-10-08T07:07:25.4540735+00:00,THREAD_1_END,SUCCESS
2025-10-08T07:07:25.5018242+00:00,THREAD_2_END,SUCCESS
2025-10-08T07:07:25.6422304+00:00,THREAD_3_END,SUCCESS
2025-10-08T07:07:25.6548647+00:00,SCENARIO_END,SUCCESS
